Pattern source data files:,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20.DESI-329-v15.DESI-595-v4.GFArevB.wedge 36deg.edgeincl 6mm.ctrclr 50mm.offset 1/pos_on_z1.txt,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20.DESI-329-v15.DESI-595-v4.GFArevB.wedge 36deg.edgeincl 6mm.ctrclr 50mm.offset 1/pos_on_z4.txt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Device Types:,,# per petal,,,,,,,,,,,,,,,,,,,,,,,
,POS,500,Fiber Positioner,,,,,,,,,,,,,,,,,,,,,,
,FIF,10,Field Illuminated Fiducial,,,,,,,,,,,,,,,,,,,,,,
,GIF,2,GFA Illuminated Fiducial,,,,,,,,,,,,,,,,,,,,,,
,ETC,2,Fiber Positioner with dedicated Exposure Time Calculator fiber,,,,,,,,,,,,,,,,,,,,,,
,OPT,2,"location has an available mounting hole, but hole does not necessarily have a device installed",,,,,,,,,,,,,,,,,,,,,,
,NON,27,location has no mounting hole or device,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinate system and units:,,,,,,,,,,,,,,,,,,,,,,,,,
,"Locations are in cartesian coordinates, with respect to FPP (petal assembly) local origin.",,,,,,,,,,,,,,,,,,,,,,,,
,"Angles are 3-2-3 (Z Y Z)(precession-nutation-spin) Euler angles, as transformed from FPP local origin.",,,,,,,,,,,,,,,,,,,,,,,,
,"FPP origin is nominally coincident with the Focal Plane System origin (designated ""CS5"" per DESI-481-v2). ",,,,,,,,,,,,,,,,,,,,,,,,
,petal_location_id =  3   -->   FPP whose coordinate system is coincident and aligned with CS5.,,,,,,,,,,,,,,,,,,,,,,,,
,mm,distance units,,,,,,,,,,,,,,,,,,,,,,,
,deg,angular units,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,
,device_location_id,range: 0-542,"uniquely identifies all POS, FIF, and GIF locations on the close-packed pattern in the petal assembly (not all are populated)",,,,,,,,,,,,,,,,,,,,,,
,petal_location_id,range: 0-9,uniquely identifies the 10 petal locations (see DESI-0742),,,,,,,,,,,,,Pattern source data files:,,,,,,,,,
,petal_location_id.device_location_id,,"composite uniquely identifies all POS, FIF, and GIF locations in the focal plate system",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Symmetry-breaking extra fiducials,,,,,,,,,,,,,,,,,,,,,,,,,
